City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
250,kemi,65.8596,24.8228,-6.13,93,100,2.06,FI,1707081892
251,hamilton,39.1834,-84.5333,13.69,47,0,6.69,US,1707081375
252,zhezqazghan,47.7833,67.7667,-5.02,97,100,4.14,KZ,1707081892
253,menaka,15.9182,2.4022,21.06,10,15,5.9,ML,1707081892
254,fuerte olimpo,-21.0415,-57.8738,30.86,44,95,2.82,PY,1707081892
255,ewo,-0.8725,14.8206,26.88,63,99,1.74,CG,1707081892
256,san patricio,28.017,-97.5169,25.05,35,0,10.32,US,1707081663
257,kulunda,52.566,78.9385,-5.6,91,100,5.49,RU,1707081892
258,aparecida do taboado,-20.0867,-51.0936,26.7,54,96,4.86,BR,1707081893
259,qinzhou,21.95,108.6167,14.43,82,100,4.42,CN,1707081893
260,hastings,50.8552,0.5729,11.0,46,93,10.52,GB,1707081893
261,happy valley-goose bay,53.3168,-60.3315,-19.83,71,20,1.03,CA,1707081663
262,carnarvon,-24.8667,113.6333,22.8,57,1,10.24,AU,1707081700
263,karhal,27.0003,78.9414,15.32,97,100,1.39,IN,1707081893
264,hithadhoo,-0.6,73.0833,28.25,78,67,5.82,MV,1707081623
265,port-vila,-17.7338,168.3219,27.78,89,75,0.51,VU,1707081893
266,alofi,-19.0595,-169.9187,28.94,79,100,5.66,NU,1707081708
267,mersa matruh,31.3525,27.2453,13.95,64,0,4.19,EG,1707081894
268,cururupu,-1.8283,-44.8683,27.23,80,11,2.4,BR,1707081894
269,scottburgh,-30.2867,30.7532,23.7,91,100,4.43,ZA,1707081894
270,weno,7.4515,151.8468,27.48,85,99,10.89,FM,1707081681
271,cannonvale,-20.2833,148.7,28.66,66,100,2.54,AU,1707081894
272,andovoranto,-18.95,49.1,24.47,79,100,1.3,MG,1707081894
273,mermoz boabab,14.7065,-17.4758,25.31,60,0,3.09,SN,1707081694
274,thunder bay,48.4001,-89.3168,2.99,80,20,3.6,CA,1707081894
275,ploneour-lanvern,47.9,-4.2833,9.18,87,100,1.54,FR,1707081895
276,santa ana,33.7456,-117.8678,18.22,64,75,6.69,US,1707081895
277,harlan,41.653,-95.3255,7.75,48,100,4.79,US,1707081895
278,key west,24.5557,-81.7826,24.44,80,0,4.63,US,1707081895
279,port hedland,-20.3167,118.5667,27.03,89,100,6.17,AU,1707081895
280,rabaul,-4.1967,152.1721,26.95,81,100,1.89,PG,1707081895
281,roma,43.2128,-75.4557,4.9,60,0,3.09,US,1707081666
282,kavieng,-2.5744,150.7967,28.66,77,96,2.58,PG,1707081709
283,broadstairs,51.3591,1.4394,10.98,81,100,5.36,GB,1707081896
284,holualoa,19.6228,-155.9522,24.2,69,75,3.6,US,1707081721
285,tateyama,34.9833,139.8667,6.72,72,100,4.95,JP,1707081745
286,afaahiti,-17.75,-149.2833,29.93,85,99,6.84,PF,1707081706
287,la cocha,-27.7773,-65.5704,34.25,24,24,5.5,AR,1707081896
288,songjiang,31.036,121.2146,2.25,83,100,6.69,CN,1707081896
289,calderitas,18.55,-88.25,32.06,55,40,0.0,MX,1707081896
290,mirnyy,62.5353,113.9611,-29.87,75,100,0.89,RU,1707081629
291,nuuk,64.1835,-51.7216,-10.66,62,100,6.17,GL,1707081650
292,luang namtha,20.9497,101.4011,13.71,63,0,0.45,LA,1707081897
293,columbia falls,48.3725,-114.1815,0.63,88,100,2.57,US,1707081897
294,eydhafushi,5.1033,73.0708,27.56,77,84,4.76,MV,1707081662
295,pembroke,45.8168,-77.1162,0.1,77,100,1.14,CA,1707081897
296,lompoc,34.6391,-120.4579,13.66,84,100,12.86,US,1707081684
297,carutapera,-1.195,-46.02,27.53,77,18,3.88,BR,1707081701
298,myeik,12.4333,98.6,23.65,83,12,2.24,MM,1707081897
299,okotoks,50.7289,-113.9828,-3.28,91,100,1.06,CA,1707081399
300,saint-philippe,-21.3585,55.7679,21.77,73,43,3.21,RE,1707081695
301,withernsea,53.7311,0.0335,12.99,77,100,12.67,GB,1707081898
302,malakal,9.5334,31.6605,25.35,19,27,2.34,SS,1707081898
303,ardakan,32.31,54.0175,6.21,24,0,2.43,IR,1707081898
304,sisimiut,66.9395,-53.6735,-20.83,95,97,3.26,GL,1707081668
305,salekhard,66.53,66.6019,-15.98,97,100,2.41,RU,1707081898
306,tralee,52.2704,-9.7026,10.26,89,98,5.36,IE,1707081639
307,banyo,6.75,11.8167,21.81,26,29,1.68,CM,1707081898
308,barcelos,41.5388,-8.6151,14.95,85,96,1.31,PT,1707081898
309,mount gambier,-37.8333,140.7667,14.76,69,60,3.24,AU,1707081632
310,palikir - national government center,6.9248,158.1611,27.41,78,100,7.72,FM,1707081691
311,pucheng,27.9233,118.5333,4.36,94,90,1.98,CN,1707081899
312,badger,64.8,-147.5333,-19.05,71,100,0.0,US,1707081662
313,constantia,44.1833,28.65,5.39,81,100,5.35,RO,1707081615
314,iskateley,67.6803,53.1512,-19.43,91,90,3.13,RU,1707081659
315,seymour,38.9592,-85.8903,13.34,43,89,1.79,US,1707081644
316,okha,53.5739,142.9478,-23.06,93,15,5.71,RU,1707081899
317,chiscani,45.1833,27.9333,8.5,64,91,4.94,RO,1707081899
318,shelby,35.2001,-89.8668,9.52,95,100,3.6,US,1707081900
319,klyuchi,52.2667,79.1667,-5.55,91,100,4.55,RU,1707081645
320,dolores,-36.3132,-57.6792,23.04,46,11,7.91,AR,1707081900
321,coquimbo,-29.9533,-71.3436,23.85,60,75,4.12,CL,1707081667
322,la ronge,55.1001,-105.2842,-7.86,62,100,2.06,CA,1707081900
323,mount pearl,47.5166,-52.7813,1.19,97,100,11.83,CA,1707081720
324,biasca,46.3597,8.9697,13.44,57,18,4.48,CH,1707081901
325,broken hill,-31.95,141.4333,22.99,76,100,10.7,AU,1707081619
326,tuy hoa,13.0833,109.3,21.8,94,60,1.43,VN,1707081901
327,vordingborg,55.008,11.9106,6.12,100,100,10.67,DK,1707081901
328,al kharijah,25.4514,30.5464,10.52,32,0,2.73,EG,1707081664
329,san jeronimo de juarez,17.1333,-100.4667,29.66,46,0,5.48,MX,1707081901
330,susuman,62.7833,148.1667,-28.9,99,100,1.34,RU,1707081698
331,zhangjiakou,40.81,114.8794,-6.62,96,100,0.42,CN,1707081901
332,wundanyi,-3.4019,38.364,18.32,84,99,1.23,KE,1707081902
333,harper,4.375,-7.7169,27.76,78,99,3.57,LR,1707081659
334,karratha,-20.7377,116.8463,30.14,41,54,5.18,AU,1707081686
335,sambava,-14.2667,50.1667,25.26,89,90,3.6,MG,1707081902
336,waingapu,-9.6567,120.2641,26.16,85,100,3.71,ID,1707081902
337,mahdia,35.5047,11.0622,12.97,58,1,2.13,TN,1707081902
338,cabedelo,-6.9811,-34.8339,29.37,71,0,5.89,BR,1707081902
339,jeddah,21.5169,39.2192,19.92,40,0,3.6,SA,1707081903
340,bhiwani,28.7833,76.1333,12.32,97,7,2.31,IN,1707081903
341,butembo,0.15,29.2833,16.88,69,79,1.06,CD,1707081673
342,yulinshi,38.2906,109.7494,-7.59,98,50,1.05,CN,1707081903
343,manta,-0.95,-80.7333,29.88,83,20,7.2,EC,1707081743
344,santa elena de uairen,4.6167,-61.1333,30.48,34,86,1.76,VE,1707081903
345,port blair,11.6667,92.75,26.02,78,49,1.03,IN,1707081703
346,san buenaventura,27.0833,-101.5333,26.93,9,0,9.86,MX,1707081903
347,makokou,0.5738,12.8642,24.46,73,75,1.31,GA,1707081904
348,boden,65.8252,21.6886,-5.0,96,94,2.57,SE,1707081904
349,peniche,39.3558,-9.3811,14.14,86,100,2.06,PT,1707081904
350,vozhega,60.4725,40.2213,-7.94,95,100,2.68,RU,1707081904
351,inhambane,-23.865,35.3833,25.02,87,22,2.94,MZ,1707081721
352,kalaleh,37.3807,55.4916,3.78,75,0,3.09,IR,1707081643
353,sinmak,38.4167,126.2333,0.28,72,100,2.99,KP,1707081904
354,sana,15.3547,44.2067,16.06,55,7,0.25,YE,1707081904
355,nabire,-3.3667,135.4833,24.82,93,90,1.33,ID,1707081654
356,la'ie,21.6477,-157.9253,24.98,66,91,8.05,US,1707081905
357,latham,37.5361,-96.642,6.78,94,100,7.73,US,1707081905
358,kurmuk,10.55,34.2833,23.73,33,50,1.67,SD,1707081905
359,fort st. john,56.2499,-120.8529,-1.06,47,20,1.54,CA,1707081664
360,ko pha ngan,9.7578,100.0291,24.61,77,59,2.36,TH,1707081905
